car_parts_name,car_parts_url,car_parts_parts_price
"Toyota Corolla Taiwan-NHI Front Bumper Xli, Gli, Altis 2008-2014",https://www.pakwheels.com/accessories-spare-parts/toyota-corolla-taiwan-nhi-front-bumper-xli-gli-altis-2008-2014-2154892,"PKR 12,500"
"Toyota Corolla Genuine Front Bumper Xli, Gli, Altis 2008-2014",https://www.pakwheels.com/accessories-spare-parts/toyota-corolla-genuine-front-bumper-xli-gli-altis-2008-2014-2154897,"PKR 9,500"
Genuine Moulding Front Bumper Left Side for KIA Sportage 2019 to 2024,https://www.pakwheels.com/accessories-spare-parts/genuine-moulding-front-bumper-left-side-for-kia-sportage-2019-to-2024-10021733,"PKR 29,273"
Genuine Rear Bumper Side Bracket Right Side For Kia Sportage 2019 to 2024,https://www.pakwheels.com/accessories-spare-parts/genuine-rear-bumper-side-bracket-right-side-for-kia-sportage-2019-to-2024-10006154,"PKR 4,725"
Genuine Rear Bumper Lower Cover Part for KIA Sorento 2021-2024,https://www.pakwheels.com/accessories-spare-parts/genuine-rear-bumper-lower-cover-part-for-kia-sorento-2021-2024-10006419,"PKR 80,165"
Genuine Rear Bumper Upper for KIA Sorento 2021-2024,https://www.pakwheels.com/accessories-spare-parts/genuine-rear-bumper-upper-for-kia-sorento-2021-2024-10006529,"PKR 81,300"
Genuine Rear Bumper for KIA Picanto 2019 - 2024,https://www.pakwheels.com/accessories-spare-parts/genuine-rear-bumper-for-kia-picanto-2019-2024-10007197,"PKR 20,367"
Genuine Rear Bumper Upper for KIA Sportage 2019 - 2024,https://www.pakwheels.com/accessories-spare-parts/genuine-rear-bumper-upper-for-kia-sportage-2019-2024-10007376,"PKR 54,165"
Genuine Rear Bumper Lower for KIA Sportage 2019 - 2024,https://www.pakwheels.com/accessories-spare-parts/genuine-rear-bumper-lower-for-kia-sportage-2019-2024-10007465,"PKR 50,728"
Sonata Spacer Front Set,https://www.pakwheels.com/accessories-spare-parts/sonata-spacer-front-set-9963274,"PKR 3,500"
Genuine Front Bar Absorber Bumper Energy for KIA Sportage 2019-2024,https://www.pakwheels.com/accessories-spare-parts/genuine-front-bar-absorber-bumper-energy-for-kia-sportage-2019-2024-9988378,"PKR 15,000"
Genuine Skid Plate for KIA Sorento 2021-2024,https://www.pakwheels.com/accessories-spare-parts/genuine-skid-plate-for-kia-sorento-2021-2024-9988913,"PKR 18,835"
"Toyota Corolla Genuine Rear Bumper Xli, Gli, Altis 2014-2016",https://www.pakwheels.com/accessories-spare-parts/toyota-corolla-genuine-rear-bumper-xli-gli-altis-2014-2016-2262246,"PKR 18,500"
Genuine Front Bumper Upper Cover for KIA Sportage AWD 2019 - 2024,https://www.pakwheels.com/accessories-spare-parts/genuine-front-bumper-upper-cover-for-kia-sportage-2019-2024-9908531,"PKR 30,469"
